ward_name,year,month_num,imd_score,income_score,employment_domain_score,education_domain_score,health_domain_score,crime_domain_score,housing_domain_score,environment_domain_score,burglaries,lag1,lag2,lag3,lag12
Abbey Road Ward,2013,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,3.0,8.0,13.0,16.0
Abbey Road Ward,2013,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,9.0,3.0,8.0,16.0
Abbey Road Ward,2013,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,7.0,9.0,3.0,13.0
Abbey Road Ward,2013,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,17,10.0,7.0,9.0,12.0
Abbey Road Ward,2013,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,17.0,10.0,7.0,18.0
Abbey Road Ward,2014,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,6.0,17.0,10.0,17.0
Abbey Road Ward,2014,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,12.0,6.0,17.0,8.0
Abbey Road Ward,2014,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,11.0,12.0,6.0,8.0
Abbey Road Ward,2014,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,10.0,11.0,12.0,14.0
Abbey Road Ward,2014,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,11.0,10.0,11.0,13.0
Abbey Road Ward,2014,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,5.0,11.0,10.0,8.0
Abbey Road Ward,2014,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,11.0,5.0,11.0,3.0
Abbey Road Ward,2014,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,7.0,11.0,5.0,9.0
Abbey Road Ward,2014,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,12.0,7.0,11.0,7.0
Abbey Road Ward,2014,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,16,12.0,12.0,7.0,10.0
Abbey Road Ward,2014,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,18,16.0,12.0,12.0,17.0
Abbey Road Ward,2014,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,18.0,16.0,12.0,6.0
Abbey Road Ward,2015,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,18,14.0,18.0,16.0,12.0
Abbey Road Ward,2015,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,18.0,14.0,18.0,11.0
Abbey Road Ward,2015,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,12.0,18.0,14.0,10.0
Abbey Road Ward,2015,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,8.0,12.0,18.0,11.0
Abbey Road Ward,2015,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,7.0,8.0,12.0,5.0
Abbey Road Ward,2015,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,9.0,7.0,8.0,11.0
Abbey Road Ward,2015,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,18,12.0,9.0,7.0,7.0
Abbey Road Ward,2015,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,13,18.0,12.0,9.0,12.0
Abbey Road Ward,2015,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,13.0,18.0,12.0,12.0
Abbey Road Ward,2015,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,12.0,13.0,18.0,16.0
Abbey Road Ward,2015,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,15,6.0,12.0,13.0,18.0
Abbey Road Ward,2015,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,15.0,6.0,12.0,14.0
Abbey Road Ward,2016,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,9.0,15.0,6.0,18.0
Abbey Road Ward,2016,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,4,9.0,9.0,15.0,12.0
Abbey Road Ward,2016,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,4.0,9.0,9.0,8.0
Abbey Road Ward,2016,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,4,8.0,4.0,9.0,7.0
Abbey Road Ward,2016,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,4.0,8.0,4.0,9.0
Abbey Road Ward,2016,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,11.0,4.0,8.0,12.0
Abbey Road Ward,2016,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,7.0,11.0,4.0,18.0
Abbey Road Ward,2016,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,15,12.0,7.0,11.0,13.0
Abbey Road Ward,2016,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,15.0,12.0,7.0,12.0
Abbey Road Ward,2016,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,20,10.0,15.0,12.0,6.0
Abbey Road Ward,2016,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,20.0,10.0,15.0,15.0
Abbey Road Ward,2016,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,10.0,20.0,10.0,9.0
Abbey Road Ward,2017,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,8.0,10.0,20.0,9.0
Abbey Road Ward,2017,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,10.0,8.0,10.0,4.0
Abbey Road Ward,2017,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,9.0,10.0,8.0,8.0
Abbey Road Ward,2017,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,10.0,9.0,10.0,4.0
Abbey Road Ward,2017,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,7.0,10.0,9.0,11.0
Abbey Road Ward,2017,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,12.0,7.0,10.0,7.0
Abbey Road Ward,2017,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,14.0,12.0,7.0,12.0
Abbey Road Ward,2017,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,6.0,14.0,12.0,15.0
Abbey Road Ward,2017,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,8.0,6.0,14.0,10.0
Abbey Road Ward,2017,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,7.0,8.0,6.0,20.0
Abbey Road Ward,2017,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,4,12.0,7.0,8.0,10.0
Abbey Road Ward,2017,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,4.0,12.0,7.0,8.0
Abbey Road Ward,2018,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,14.0,4.0,12.0,10.0
Abbey Road Ward,2018,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,3,14.0,14.0,4.0,9.0
Abbey Road Ward,2018,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,3.0,14.0,14.0,10.0
Abbey Road Ward,2018,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,8.0,3.0,14.0,7.0
Abbey Road Ward,2018,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,8.0,8.0,3.0,12.0
Abbey Road Ward,2018,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,13,10.0,8.0,8.0,14.0
Abbey Road Ward,2018,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,19,13.0,10.0,8.0,6.0
Abbey Road Ward,2018,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,19.0,13.0,10.0,8.0
Abbey Road Ward,2018,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,14.0,19.0,13.0,7.0
Abbey Road Ward,2018,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,7.0,14.0,19.0,12.0
Abbey Road Ward,2018,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,8.0,7.0,14.0,4.0
Abbey Road Ward,2018,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,20,10.0,8.0,7.0,14.0
Abbey Road Ward,2019,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,20.0,10.0,8.0,14.0
Abbey Road Ward,2019,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,8.0,20.0,10.0,3.0
Abbey Road Ward,2019,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,14,14.0,8.0,20.0,8.0
Abbey Road Ward,2019,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,14.0,14.0,8.0,8.0
Abbey Road Ward,2019,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,12.0,14.0,14.0,10.0
Abbey Road Ward,2019,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,9.0,12.0,14.0,13.0
Abbey Road Ward,2019,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,12.0,9.0,12.0,19.0
Abbey Road Ward,2019,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,9.0,12.0,9.0,14.0
Abbey Road Ward,2019,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,11.0,9.0,12.0,7.0
Abbey Road Ward,2019,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,11.0,11.0,9.0,8.0
Abbey Road Ward,2019,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,5.0,11.0,11.0,10.0
Abbey Road Ward,2019,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,12.0,5.0,11.0,20.0
Abbey Road Ward,2020,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,10.0,12.0,5.0,8.0
Abbey Road Ward,2020,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,8.0,10.0,12.0,14.0
Abbey Road Ward,2020,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,13,9.0,8.0,10.0,14.0
Abbey Road Ward,2020,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,1,13.0,9.0,8.0,12.0
Abbey Road Ward,2020,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,1.0,13.0,9.0,9.0
Abbey Road Ward,2020,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,4,5.0,1.0,13.0,12.0
Abbey Road Ward,2020,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,4.0,5.0,1.0,9.0
Abbey Road Ward,2020,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,10.0,4.0,5.0,11.0
Abbey Road Ward,2020,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,6.0,10.0,4.0,11.0
Abbey Road Ward,2020,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,11.0,6.0,10.0,5.0
Abbey Road Ward,2020,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,7.0,11.0,6.0,12.0
Abbey Road Ward,2020,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,7.0,7.0,11.0,10.0
Abbey Road Ward,2021,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,5.0,7.0,7.0,8.0
Abbey Road Ward,2021,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,8.0,5.0,7.0,9.0
Abbey Road Ward,2021,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,7.0,8.0,5.0,13.0
Abbey Road Ward,2021,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,5.0,7.0,8.0,1.0
Abbey Road Ward,2021,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,13,11.0,5.0,7.0,5.0
Abbey Road Ward,2021,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,13.0,11.0,5.0,4.0
Abbey Road Ward,2021,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,7.0,13.0,11.0,10.0
Abbey Road Ward,2021,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,1,8.0,7.0,13.0,6.0
Abbey Road Ward,2021,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,1.0,8.0,7.0,11.0
Abbey Road Ward,2021,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,8.0,1.0,8.0,7.0
Abbey Road Ward,2021,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,6.0,8.0,1.0,7.0
Abbey Road Ward,2021,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,5.0,6.0,8.0,5.0
Abbey Road Ward,2022,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,6.0,5.0,6.0,8.0
Abbey Road Ward,2022,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,8.0,6.0,5.0,7.0
Abbey Road Ward,2022,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,7.0,8.0,6.0,5.0
Abbey Road Ward,2022,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,10,8.0,7.0,8.0,11.0
Abbey Road Ward,2022,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,4,10.0,8.0,7.0,13.0
Abbey Road Ward,2022,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,4.0,10.0,8.0,7.0
Abbey Road Ward,2022,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,3,5.0,4.0,10.0,8.0
Abbey Road Ward,2022,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,3.0,5.0,4.0,1.0
Abbey Road Ward,2022,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,9.0,3.0,5.0,8.0
Abbey Road Ward,2022,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,3,6.0,9.0,3.0,6.0
Abbey Road Ward,2022,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,3.0,6.0,9.0,5.0
Abbey Road Ward,2022,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,6.0,3.0,6.0,6.0
Abbey Road Ward,2023,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,6.0,6.0,3.0,8.0
Abbey Road Ward,2023,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,11.0,6.0,6.0,7.0
Abbey Road Ward,2023,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,9.0,11.0,6.0,8.0
Abbey Road Ward,2023,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,6.0,9.0,11.0,10.0
Abbey Road Ward,2023,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,11.0,6.0,9.0,4.0
Abbey Road Ward,2023,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,13,12.0,11.0,6.0,5.0
Abbey Road Ward,2023,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,11,13.0,12.0,11.0,3.0
Abbey Road Ward,2023,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,6,11.0,13.0,12.0,9.0
Abbey Road Ward,2023,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,6.0,11.0,13.0,6.0
Abbey Road Ward,2023,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,13,5.0,6.0,11.0,3.0
Abbey Road Ward,2023,11,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,13.0,5.0,6.0,6.0
Abbey Road Ward,2023,12,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,7.0,13.0,5.0,6.0
Abbey Road Ward,2024,1,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,16,9.0,7.0,13.0,11.0
Abbey Road Ward,2024,2,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,16.0,9.0,7.0,9.0
Abbey Road Ward,2024,3,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,12,9.0,16.0,9.0,6.0
Abbey Road Ward,2024,4,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,12.0,9.0,16.0,11.0
Abbey Road Ward,2024,5,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,5,8.0,12.0,9.0,12.0
Abbey Road Ward,2024,6,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,7,5.0,8.0,12.0,13.0
Abbey Road Ward,2024,7,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,7.0,5.0,8.0,11.0
Abbey Road Ward,2024,8,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,9,9.0,7.0,5.0,6.0
Abbey Road Ward,2024,9,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,9.0,9.0,7.0,5.0
Abbey Road Ward,2024,10,11.808699482270516,2.598,1.591,7.717695137037534,-1.777101889408784,-0.096837683506885,20.647614484688894,37.63102050804334,8,8.0,9.0,9.0,13.0
